"species","gid"
"Thalictrum_pubigerum",90108
"Thalictrum_pudicum",90109
"Thalictrum_revolutum",90110
"Thalictrum_robustum",90111
"Thalictrum_rochebrunnianum",90112
"Thalictrum_standleyi",90113
"Thamniopsis_oedodontia",90128
"Thamniopsis_pendula",90129
"Thamnobryum_neckeroides",90136
"Thamnobryum_subserratum",90137
"Thamnobryum_tumidicaule",90138
"Thamnogala_crombiei",90139
"Thamnolia_subuliformis",90140
"Thamnosma_montana",90141
"Thamnosma_montanum",90142
"Thamnosma_pailense",90143
"Thamnosma_texana",90145
"Thaspium_aureum",90146
"Thaspium_chapmanii",90147
"Thaspium_pinnatifidum",90148
"Thaumatocaryon_dasyanthum",90150
"Thelocactus_tulensis",90163
"Thelomma_santessonii",90188
"Thelopsis_falveola",90189
"Thelopsis_isiaca",90190
"Thaumatocaryon_tetraquetrum",90151
"Thelenella_brasiliensis",90152
"Thelenella_cinerascens",90153
"Thelenella_fugiens",90154
"Thelenella_hassei",90155
"Thelenella_luridella",90156
"Thelenella_modesta",90157
"Thelenella_sastreana",90158
"Thelenella_weberi",90159
"Thelesperma_burridgeanum",90160
"Thelesperma_filifolium",90161
"Thelocactus_setispinus",90162
"Thelomma_carolinianum",90184
"Thelesperma_flavodiscum",90164
"Thelesperma_graminiformis",90165
"Thelesperma_longipes",90166
"Thelesperma_megapotamicum",90167
"Thelesperma_scabridulum",90168
"Thelesperma_simplicifolium",90169
"Thelesperma_subaequale",90170
"Thelesperma_subnudum",90171
"Thelia_asprella",90172
"Thelia_hirtella",90173
"Thelia_lescurii",90174
"Thelidium_aeneovinosum",90175
"Thelidium_minimum",90176
"Thelidium_minutulum",90177
"Thelidium_pyrenophorum",90178
"Thelignya_lignyota",90179
"Thelotrema_adjectum",90192
"Thelotrema_dilatatum",90193
"Thelotrema_halei",90194
"Thelotrema_lacteum",90195
"Thelypodiopsis_shinnersii",90206
"Thelotrema_monospermum",90196
"Thelotrema_porinoides",90197
"Thelotrema_santense",90198
"Thelypteris_browniana",90216
"Thelypodiopsis_vermicularis",90217
"Thelypodiopsis_versicolor",90218
"Thelypodiopsis_ambigua",90201
"Thelypodiopsis_arcuata",90202
"Thelypodiopsis_juniperorum",90203
"Thelypodiopsis_purpusii",90204
"Thelypodiopsis_retrofracta",90205
"Thelypodiopsis_vaseyi",90207
"Thelypteris_berroi",90208
"Thelypteris_biformata",90209
"Thelypteris_binervata",90210
"Thelypteris_biolleyi",90211
"Thelypteris_blanda",90212
"Thelypteris_alata",90221
"Thelypteris_atrovirens",90251
"Thelypteris_albicaulis",90222
"Thelypteris_altitudinis",90223
"Thelypteris_amambayensis",90224
"Thelypteris_amazonica",90225
"Thelypteris_amphioxypteris",90226
"Thelypteris_ancyriothrix",90227
"Thelypteris_andicola",90228
"Thelypteris_andreana",90229
"Thelypteris_buchtienii",90230
"Thelypteris_arborea",90237
"Thelypteris_arborescens",90238
"Thelypteris_arcana",90239
"Thelypteris_augescens",90252
"Thelypteris_balbisii",90253
"Thelypteris_barvae",90254
"Thelypteris_basisceletica",90255
"Thelypteris_decurtata",90297
"Thelypteris_decussata",90298
"Thelypteris_mosenii",90372
"Thelypodium_brachycarpum",90231
"Thelypodium_eucosmum",90232
"Thelypodium_howellii",90233
"Thelypodium_integrifolium",90234
"Thelypodium_laciniatum",90235
"Thelypteris_araucariensis",90236
"Thelypodium_milleflorum",90243
"Thelypteris_argentina",90244
"Thelypteris_beckeriana",90260
"Thelypteris_abrupta",90267
"Thelypteris_achalensis",90268
"Thelypodium_laxiflorum",90241
"Thelypodium_longipes",90242
"Thelypodium_paniculatum",90245
"Thelypodium_repandum",90246
"Thelypteris_aristeguietae",90247
"Thelypteris_arrecta",90248
"Thelypteris_asplenioides",90250
"Thelypteris_patens",90398
"Thelypodium_rollinsii",90256
"Thelypodium_sagittatum",90257
"Thelypodium_stenopetalum",90258
"Thelypodium_tenue",90259
"Thelypteris_abbiattii",90266
